iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
53880	146265	0	0	0	0	0	0	0	146265	0	0	0
53881	150852	0	0	0	0	0	0	0	150852	0	0	0
53882	1.12689e+006	0	0	0	0	0	0	0	1.12689e+006	0	0	0
53883	0	0	0	0	0	0	0	0	0	0	0	0
53884	223474	0	0	0	0	0	0	0	223474	0	0	0
53885	0	0	0	0	0	0	0	0	0	0	0	0
53886	25473.9	0	0	0	0	0	0	0	25473.9	0	0	0
53887	0	0	0	0	0	0	0	0	0	0	0	0
53888	837925	0	0	0	0	0	0	0	837925	0	0	0
53889	473458	0	0	0	0	0	0	0	473458	0	0	0
53890	0	0	0	0	0	0	0	0	0	0	0	0
53891	0	0	0	0	0	0	0	0	0	0	0	0
53892	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53893	474657	0	0	0	0	0	0	0	474657	0	0	0
53894	0	0	0	0	0	0	0	0	0	0	0	0
53895	119070	0	0	0	0	0	0	0	119070	0	0	0
53896	386897	0	0	0	0	0	0	0	386897	0	0	0
53897	797621	0	0	0	0	0	0	0	797621	0	0	0
53898	1.37728e+006	0	0	1.37728e+006	0	0	0	0	0	0	0	0
53899	0	0	0	0	0	0	0	0	0	0	0	0
53900	1.1457e+006	0	0	0	0	0	0	0	1.1457e+006	0	0	0
53901	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53902	0	0	0	0	0	0	0	0	0	0	0	0
53903	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53904	0	0	0	0	0	0	0	0	0	0	0	0
53905	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53906	0	0	0	0	0	0	0	0	0	0	0	0
53907	1.0754e+006	0	0	1.0754e+006	0	0	0	0	0	0	0	0
53908	390237	0	0	0	0	0	0	0	390237	0	0	0
53909	408840	0	119945	0	0	0	0	0	288894	0	0	0
53910	512988	0	0	0	0	0	0	0	512988	0	0	0
53911	0	0	0	0	0	0	0	0	0	0	0	0
53912	890826	0	0	0	0	0	0	0	890826	0	0	0
53913	1.59129e+006	0	409181	0	0	0	0	0	1.18211e+006	0	0	0
53914	0	0	0	0	0	0	0	0	0	0	0	0
53915	1.26435e+006	0	0	0	0	0	0	0	1.26435e+006	0	0	0
53916	112335	0	0	0	0	0	0	0	112335	0	0	0
53917	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53918	1.16559e+006	0	0	0	0	0	0	0	1.16559e+006	0	0	0
53919	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53920	0	0	0	0	0	0	0	0	0	0	0	0
53921	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53922	0	0	0	0	0	0	0	0	0	0	0	0
53923	0	0	0	0	0	0	0	0	0	0	0	0
53924	103091	0	0	0	0	0	0	0	103091	0	0	0
53925	2.51396e+006	0	0	0	0	0	0	0	2.51396e+006	0	0	0
53926	0	0	0	0	0	0	0	0	0	0	0	0
53927	1.4826e+006	0	0	0	0	0	0	0	1.4826e+006	0	0	0
53928	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53929	0	0	0	0	0	0	0	0	0	0	0	0
53930	0	0	0	0	0	0	0	0	0	0	0	0
53931	539788	0	0	0	0	0	0	0	539788	0	0	0
53932	335937	0	0	0	0	0	0	0	335937	0	0	0
53933	0	0	0	0	0	0	0	0	0	0	0	0
53934	311122	0	0	0	0	0	0	0	311122	0	0	0
53935	0	0	0	0	0	0	0	0	0	0	0	0
53936	0	0	0	0	0	0	0	0	0	0	0	0
53937	185099	0	0	0	0	0	0	0	185099	0	0	0
53938	141359	0	0	0	0	0	0	0	141359	0	0	0
53939	0	0	0	0	0	0	0	0	0	0	0	0
53940	308613	0	0	0	0	0	0	0	308613	0	0	0
